technology,type,design,parameter,year,value,unit,source,note,reference,ref_size_MW,EP_ratio_h
Lithium-Ion-LFP-Energy,electrochemical,,investment,2030,109.45,$/kWh,25,DC storage block,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2030,27.57,$/kWh,25,DC storage BOS,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,investment,2030,64.62,$/kW,25,Power Equipment,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,investment,2030,5.78,$/kW,25,Controll and Communication,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2030,35.19,$/kWh,25,System integration,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2030,42.26,$/kWh,25,EPC,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2030,50.71,$/kWh,25,Project Development,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,investment,2030,21.05,$/kW,25,Grid integration,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,FOM,2030,0.118551,$/kWh-year,,derived,0.43 % of SB,10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,FOM,2030,19.386,$/kW-year,,derived,30% assumed of power components every 10 years,10,24
Lithium-Ion-LFP-Energy,electrochemical,,decommissioning,2030,0,$/kWh,25,,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,efficiency,2030,0.919347595,,25,"AC-AC efficiency at transformer level, 0.8452^0.5",p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,,lifetime,2030,16,years,25,,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,lifetime,2030,16,years,25,,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2021,167.25,$/kWh,25,DC storage block,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2021,36.92,$/kWh,25,DC storage BOS,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,investment,2021,73.05,$/kW,25,Power Equipment,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,investment,2021,7.75,$/kW,25,Controll and Communication,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2021,41.48,$/kWh,25,System integration,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2021,49.8,$/kWh,25,EPC,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,investment,2021,59.76,$/kWh,25,Project Development,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,investment,2021,24.81,$/kW,25,Grid integration,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,FOM,2021,0.158756,$/kWh-year,,derived,0.43 % of SB,10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,FOM,2021,21.915,$/kW-year,,derived,30% assumed of power components every 10 years,10,24
Lithium-Ion-LFP-Energy,electrochemical,,decommissioning,2021,2.65,$/kWh,25,,p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,bidirectional,efficiency,2021,0.908790405,,25,"AC-AC efficiency at transformer level, 0.8259^0.5",p.24 (p.46),10,24
Lithium-Ion-LFP-Power,electrochemical,,lifetime,2021,16,years,25,,p.24 (p.46),10,24
Lithium-Ion-LFP-Energy,electrochemical,,lifetime,2021,16,years,25,,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2030,129.37,$/kWh,25,DC storage block,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2030,26.68,$/kWh,25,DC storage BOS,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,investment,2030,64.62,$/kW,25,Power Equipment,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,investment,2030,5.78,$/kW,25,Controll and Communication,p.24 (p.46),10,24
