ID,Author,Year,Journal,Title,Url,,BACKLOG. Need to be inserted.
1,Gautam,2022,energies,Review and Techno-Economic Analysis of Emerging Thermo-Mechanical Energy Storage Technologies,https://www.mdpi.com/1996-1073/15/17/6328/htm,,
2,Tom Smolinka et al.,2022,Fraunhofer ISE,Towards a GW industry - Fraunhofer ISE provides a deep-in cost analysis for water electrolysis systems,"https://www.ise.fraunhofer.de/en/press-media/press-releases/2022/towards-a-gw-industry-fraunhofer-ise-provides-a-deep-in-cost-analysis-for-water-electrolysis-systems.html""",,
3,J.Hass,2017,Renewable and Sustainable Energy Reviews,Challenges and trends of energy storage expansion planning for flexibility provision in low-carbon power systems – a review,https://www.sciencedirect.com/science/article/pii/S1364032117308377,,
4,Charavat et al.,2022,Journal of Power Sources,New organic-air flow fuel cell and electrolyser for stationary energy storage,https://www.sciencedirect.com/science/article/pii/S0378775321013021,,
5,Kyle Bradbury,2010,ResearchGate,Energy Storage Technology Review,https://www.researchgate.net/publication/265064873_Energy_Storage_Technology_Review,,
6,Schmidt et al.,2019,Joule,Projecting the Future Levelized Cost of Electricity Storage Technologies,https://www.sciencedirect.com/science/article/pii/S254243511830583X,,
7,Beuse et al. ,2020,Joule,Projecting the Competition between Energy-Storage Technologies in the Electricity Sector,https://www.sciencedirect.com/science/article/pii/S2542435120303354,,
8,Javed et al.,2021,iScience,Quantifying techno-economic indicators' impact on isolated renewable energy systems,https://www.cell.com/iscience/fulltext/S2589-0042(21)00698-2,,
9,Klar et al.,n.d.,University of Innsbruck,Buoyant Energy | Decentralized Offshore Energy Storage in the European Power Plant Park,http://www.buoyant-energy.com/files/buoyant_energy_at_a_glance.pdf,,
10,Buhagiar et al.,2019,Journal of Energy Storage,Small-scale Experimental Testing of a Novel Marine Floating Platform with Integrated Hydro-pneumatic Energy Storage,https://www.sciencedirect.com/science/article/abs/pii/S2352152X19302166?via%3Dihub,,Pressurized seawater storage https://www.offshoreenergystorage.com
11,Lingenhohl,2011,Spektrum.de,Ein Granitblock voller Energie,https://www.spektrum.de/news/ein-granitblock-voller-energie/1061069,,Gravity storage https://www.spektrum.de/news/ein-granitblock-voller-energie/1061069 (German)
12,Dumont et al.,2020,Journal of Energy Storage,Carnot battery technology: A state-of-the-art review,https://www.sciencedirect.com/science/article/abs/pii/S2352152X20315930,,
13,McTigue,2019,NREL,"""Carnot Batteries"" for electricity storage",https://www.nrel.gov/docs/fy20osti/75559.pdf,,
14,Novotny et al.,2022,Energies,Review of Carnot Battery Technology Commercial Development,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj4oNiUrYn2AhUBlFwKHV06BXQQFnoECB4QAQ&url=https%3A%2F%2Fwww.mdpi.com%2F1996-1073%2F15%2F2%2F647%2Fpdf&usg=AOvVaw1N6HtMKws_hK6Fl4V1ZDbF,,
15,Dowling et al.,2020,Joule,Role of Long-Duration Energy Storage in Variable Renewable Electricity Systems,https://www.sciencedirect.com/science/article/pii/S2542435120303251,,
16,Mongrid et al.,2020,US DoE,2020 Grid Energy Storage Technology Cost and Performance Assessment,https://www.pnnl.gov/sites/default/files/media/file/CAES_Methodology.pdf,,
17,Sepulveda et al.,2021,Nature,The design space for long-duration energy storage in decarbonized power systems,https://www.nature.com/articles/s41560-021-00796-8,,
18,Benato & Stoppato,2018,Thermal Science and Engineering Progress,Pumped Thermal Electricity Storage: A technology overview,https://www.sciencedirect.com/science/article/abs/pii/S2451904917303700?casa_token=E-hreO8VUzsAAAAA:EGZstcJhj1wZzhjBMlrTKAbguoGmP0vC8JxcpGjV0Pb7MrMP0MhPcRbOubQgcKzbGI3Mc4Wk,,
19,Borri et al.,2021,Renewable and Sustainable Energy Reviews,"A review on liquid air energy storage: History, state of the art and recent developments",https://www.sciencedirect.com/science/article/abs/pii/S1364032120308571?casa_token=G-Bh5wiMPO4AAAAA:4rsIv17ZE3cxtfxddXMgY0qXTeg-66sG4UKwde6ZQ9ODE0xozdr8bJRbyeoRXdVLIvSajqRM,,
20,Olympios et al.,2021,Progress in Energy,Progress and prospects of thermo-mechanical energy storage—a critical review,https://iopscience.iop.org/article/10.1088/2516-1083/abdbba/meta,,
21,Vecchi et al.,2021,Advances in Applied Energy,"Liquid air energy storage (LAES): A review on technology state-of-the-art, integration pathways and future perspectives",https://www.sciencedirect.com/science/article/pii/S2666792421000391,,
22,Georgiou et al.,2018,Applied Energy,A thermo-economic analysis and comparison of pumped-thermal and liquid-air electricity storage systems,https://www.sciencedirect.com/science/article/pii/S0306261918306627,,
23,,,Iron battery ,,https://formenergy.com/team/,,
24,Zang et al.,2022,Journal of Energy Storage,Values of latent heat and thermochemical energy storage technologies in low-carbon energy systems: Whole system approach,https://www.sciencedirect.com/science/article/pii/S2352152X22001621,,
25,Augustine & Blair,2021,NREL,Storage Futures Study - Storage Technology Modeling Input Data Report,https://www.nrel.gov/docs/fy21osti/78694.pdf,,
26,Viswanathan et al,2022,PNNL,2022 Grid Energy Storage Technology Cost and Performance Assessment,https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,,
